time,updated_at_ms,ce_close,pe_close,straddle_price
15:26:00,1774432596057,181.35,188.0,369.35
15:27:00,1774432621778,181.85,186.25,368.1
15:28:00,1774432681794,172.0,196.2,368.2
15:29:00,1774432742205,175.55,192.3,367.85
15:30:00,1774432801746,175.5,188.75,364.25
15:31:00,1774432862672,175.5,188.75,364.25
15:32:00,1774432922826,175.5,188.75,364.25
15:33:00,1774432983874,175.5,188.75,364.25
15:34:00,1774433041120,175.5,188.75,364.25
15:35:00,1774433101376,175.5,188.75,364.25
15:36:00,1774433162384,175.5,188.75,364.25
15:37:00,1774433222526,175.5,188.75,364.25
15:38:00,1774433282678,175.5,188.75,364.25
15:39:00,1774433342825,175.5,188.75,364.25
15:40:00,1774433402977,175.5,188.75,364.25
15:41:00,1774433463127,175.5,188.75,364.25
15:42:00,1774433523378,175.5,188.75,364.25
15:43:00,1774433581376,175.5,188.75,364.25
15:44:00,1774433641526,175.5,188.75,364.25
15:45:00,1774433701676,175.5,188.75,364.25
15:46:00,1774433761973,175.5,188.75,364.25
15:47:00,1774433822976,175.5,188.75,364.25
15:48:00,1774433883530,175.5,188.75,364.25
15:49:00,1774433941527,175.5,188.75,364.25
15:50:00,1774434002529,175.5,188.75,364.25
15:51:00,1774434062678,175.5,188.75,364.25
15:52:00,1774434122825,175.5,188.75,364.25
15:53:00,1774434182975,175.5,188.75,364.25
15:54:00,1774434243130,175.5,188.75,364.25
15:55:00,1774434303528,175.5,188.75,364.25
15:56:00,1774434361524,175.5,188.75,364.25
15:57:00,1774434422526,175.5,188.75,364.25
15:58:00,1774434482676,175.5,188.75,364.25
15:59:00,1774434542825,175.5,188.75,364.25
16:00:00,1774435263572,175.5,188.75,364.25
